id,name,notes
7d18f374-aa6e-4c71-9e50-164944f1dc69,jajka,
bd091048-4ebc-4c90-a06c-d23fdd8baada,chleb,
c9f7ed5c-3300-48e0-820f-e5b104d91c04,cebula,
2e91c9be-dc08-4b85-9869-e72a30319f33,czosnek,
ae5614e8-1967-40d0-a95a-a3867005ffde,napoje,cola zero lub woda z cytryną
baae5b44-2cf3-4dfb-8b9a-df68e981d0c8,herbata,
866e2c38-7dd8-4adc-8b89-23f3e974086b,sok pomarańczowy,litr
b0ae8afe-da74-4c92-8014-fde7e1a7bb29,warzywa na patelnie,dwie paczki
b9f60964-8432-4771-8f10-16bdc6198cc2,ryż lub makaron,
a42017ee-b53e-4ae7-a484-5691f4ca2622,banany,4x
d8da21a1-b401-47c5-bffc-d64ac98d2c21,płyn do mycia naczyń,
329cb042-b5eb-4d97-92ff-3bb9e2aa0b4a,gąbki do mycia naczyń,
fd3a9a50-a42e-4ed8-b6b4-8381102eb815,papier toaletowy,
2b875f46-c6f7-40a6-a572-4d9830a6abbe,ogórek lub pomidor lub rzodkiewka,
85862b74-e7d4-4cdf-b278-ad14ea5de527,dżem lub wędlina i ser żółty lub serek kanapkowy,
3461c442-8d4d-4fbb-bb01-66a0de59511b,kostki do zmywarki,
4fd954f1-f744-47b7-8190-58a80e00f44b,płyn do płukania,
e7e8d981-ba31-4c32-960c-42b1504fe6f7,kostki albo płyn do prania,
836dcb63-f442-431c-bff5-f30b2f9a0d16,szampon,
5e31e9bb-f908-4b39-ad8f-d6e9e161ddc2,żel pod prysznic,
e00a3bc9-4f9d-4680-8ba9-6ba14db39ab2,mydło do rąk w płynie,